Value
83,88045485
9,353190555
163,3216255
-17,58721288
95,14071324
89,39384995
87,44021033
26,22278563
179,2292155
-13,85470159
141,2338897
149,0296063
104,2930911
61,24426686
202,6577716
-3,857062799
142,0637676
152,1280107
154,6266952
94,6100669
214,2977278
30,11908926
179,9213565
171,9316893
152,9862284
89,6687855
238,0624302
49,43445525
189,9769958
201,0262632
155,9880039
129,4210965
261,1338744
58,27653945
200,50791
228,4846796
172,0603719
117,4643982
261,7910742
89,94444768
207,8230191
214,5957362
193,5272487
155,1075963
292,2662946
92,29223755
243,5891767
251,3753474
219,4889365
166,921629
305,6217266
