Value
154,1
792
50,8
1048,8
279,4
137,5
525
56,8
47
154,4
871,8
739,1
1264,8
8355,3
272,5
129,8
3850,3
85,8
525
85,8
85,8
115,5
171,6
1158,6
1945,2
382,5
306,4
267
5991,2
31
162,2
28,2
525
981,6
897,8
451,6
4456
47,4
360,7
65,9
52,7
339,9
93,7
78,4
74
360,7
93,7
859,4
142,4
830,3
962,1
6906,5
1505,1
201,4
172,2
2001,5
1521
2513,3
1046,9
946,6
1336,7
231,4
1745,8
165,7
1437,3
235,7
617,4
505,5
955,8
175,2
350
799,2
1018,7
238,6
506,7
31,7
856,3
467,8
566,7
90,9
70,3
858,3
68,8
181,3
424,3
420,5
303,7
383,6
388
441,3
1168,5
1021,9
731,7
997,5
826,2
100,8
140,4
394,2
197
493,4
1575,4
765,8
108,6
1202,3
3876,7
818,4
554,9
127,5
88
045,9
471,7
110,4
167,6
1230,4
532,7
1076
279,1
1019,8
1556,6
