Value
63,70952391
70,68585815
73,33628346
84,12117472
86,45587038
88,2676401
101,1412811
100,9627761
104,32405
111,257049
111,7130486
122,572506
122,4771267
132,1242712
135,2074751
139,0115098
148,7346676
149,1670239
160,6578772
160,986626
163,2652524
169,8886673
175,219451
181,1277411
183,5342458
196,6303769
195,2259886
190,6583785
204,8783148
197,0740157
222,6202867
227,9228402
244,5870467
205,9076401
231,5669521
238,6627598
253,733089
261,7694431
261,5920327
266,5081331
264,3297004
260,6450206
270,8994888
271,102733
285,3506152
273,0371044
288,2385487
297,523085
295,3098416
303,8503685
