Value
176,06944952
157,336527586
139,014798989
156,126223202
148,241966181
198,843735054
103,719551756
121,199243002
121,702096605
193,431953168
155,611772567
129,754118904
102,777749824
133,034358422
161,294315793
188,500990637
115,705976557
133,462656659
102,519322556
124,916728912
111,382677675
135,682807256
118,818605754
140,292140731
120,996887027
186,934572391
186,668433093
145,547817946
161,595522076
174,967029667
177,874520263
105,141884436
151,048397195
118,329580106
133,033411462
123,599583633
145,425551584
175,214688277
150,448699353
178,439614298
121,710520049
187,343804879
119,778978197
169,984607008
121,453453823
189,357580202
144,776911232
113,41265473
156,508622477
